Operating System,IP Address,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
iOS,96.42.25.209,1,1,1,0.00%,3,0:00:43,0.00%,0,$0.00 
Android,96.41.202.198,1,1,2,0.00%,8,0:04:02,0.00%,0,$0.00 
Android,96.32.232.173,1,1,1,0.00%,3,0:23:25,0.00%,0,$0.00 
Windows,96.29.3.249,1,1,1,0.00%,12,0:17:20,0.00%,0,$0.00 
Chrome OS,96.252.109.126,1,1,1,0.00%,13,0:18:45,0.00%,0,$0.00 
Android,96.230.217.109,1,1,1,0.00%,15,0:13:52,0.00%,0,$0.00 
Windows,93.177.72.7,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,93.112.148.180,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,90.62.80.149,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,89.64.101.163,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,86.173.186.173,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,85.255.237.187,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,81.110.124.156,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Macintosh,80.236.20.26,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,8.29.210.69,1,1,1,0.00%,7,0:03:34,0.00%,0,$0.00 
Android,78.19.76.54,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,76.9.91.238,1,1,1,0.00%,10,0:13:13,0.00%,0,$0.00 
iOS,76.27.175.82,1,1,1,0.00%,2,0:00:09,0.00%,0,$0.00 
Macintosh,76.26.54.57,1,1,1,0.00%,10,0:10:00,0.00%,0,$0.00 
Macintosh,76.25.77.216,1,1,1,0.00%,8,0:08:01,0.00%,0,$0.00 
Windows,76.24.190.225,1,1,1,0.00%,5,0:07:57,0.00%,0,$0.00 
Android,76.235.204.65,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,76.234.140.218,1,1,1,0.00%,10,0:16:53,0.00%,0,$0.00 
Android,76.206.56.238,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,76.20.100.62,1,1,1,0.00%,3,0:00:53,0.00%,0,$0.00 
Android,76.191.19.153,1,1,1,0.00%,3,0:01:32,0.00%,0,$0.00 
Android,76.183.186.151,1,1,1,0.00%,5,0:11:03,0.00%,0,$0.00 
Windows,76.172.66.181,1,1,1,0.00%,8,0:09:52,0.00%,0,$0.00 
Macintosh,76.167.213.176,1,1,1,0.00%,8,0:01:38,0.00%,0,$0.00 
Macintosh,76.167.161.108,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,76.125.207.177,1,1,1,0.00%,9,0:03:20,0.00%,0,$0.00 
Android,76.120.172.6,1,1,1,0.00%,2,0:01:21,0.00%,0,$0.00 
Android,76.118.85.20,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,76.108.73.56,1,1,1,0.00%,7,0:32:21,0.00%,0,$0.00 
Android,76.106.2.217,1,1,1,0.00%,4,0:04:43,0.00%,0,$0.00 
Android,75.97.179.218,1,1,1,0.00%,5,0:02:59,0.00%,0,$0.00 
iOS,75.89.200.130,1,1,1,0.00%,6,0:03:51,0.00%,0,$0.00 
iOS,75.80.176.45,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,75.73.195.232,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,75.58.42.195,1,1,1,0.00%,27,0:17:51,0.00%,0,$0.00 
Android,75.48.121.67,1,1,1,0.00%,3,0:00:42,0.00%,0,$0.00 
Android,75.21.235.253,1,1,3,33.33%,5.67,0:13:39,0.00%,0,$0.00 
iOS,75.190.11.196,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,75.188.45.72,1,1,1,0.00%,4,0:04:23,0.00%,0,$0.00 
iOS,75.187.42.179,1,1,1,0.00%,12,0:08:20,0.00%,0,$0.00 
Android,75.187.124.48,1,1,1,0.00%,2,0:02:10,0.00%,0,$0.00 
Android,75.175.104.136,1,1,1,0.00%,2,0:05:30,0.00%,0,$0.00 
Android,75.172.55.60,1,1,1,0.00%,5,0:03:08,0.00%,0,$0.00 
Android,75.164.248.79,1,1,1,0.00%,5,0:03:39,0.00%,0,$0.00 
iOS,75.138.248.52,1,1,1,0.00%,2,0:00:48,0.00%,0,$0.00 
Windows,75.134.243.32,1,1,1,0.00%,13,0:06:38,0.00%,0,$0.00 
Android,75.117.168.206,1,1,1,0.00%,2,0:03:40,0.00%,0,$0.00 
iOS,75.115.127.225,1,1,1,0.00%,8,0:19:20,0.00%,0,$0.00 
Android,75.111.145.77,1,1,2,50.00%,4.5,0:14:51,0.00%,0,$0.00 
Android,75.109.23.142,1,1,1,0.00%,9,0:04:37,0.00%,0,$0.00 
Macintosh,75.104.71.177,1,1,1,0.00%,13,0:21:13,0.00%,0,$0.00 
Android,74.69.60.242,1,1,1,0.00%,4,0:02:26,0.00%,0,$0.00 
Android,74.213.203.196,1,1,1,0.00%,13,0:12:52,0.00%,0,$0.00 
iOS,74.199.76.172,1,1,1,0.00%,5,0:09:01,0.00%,0,$0.00 
Android,74.138.83.223,1,1,1,0.00%,5,0:29:13,0.00%,0,$0.00 
Android,74.135.35.148,1,1,1,0.00%,7,0:05:35,0.00%,0,$0.00 
Android,74.134.88.28,1,1,1,0.00%,6,0:05:22,0.00%,0,$0.00 
Android,74.111.182.17,1,1,1,0.00%,9,0:08:33,0.00%,0,$0.00 
Windows,73.94.72.118,1,1,1,0.00%,5,0:11:56,0.00%,0,$0.00 
Android,73.94.49.153,1,1,1,0.00%,3,0:01:42,0.00%,0,$0.00 
iOS,73.90.207.79,1,1,1,0.00%,25,0:54:23,0.00%,0,$0.00 
iOS,73.81.166.10,1,1,1,0.00%,3,0:03:39,0.00%,0,$0.00 
Android,73.72.230.127,1,1,1,0.00%,5,0:01:53,0.00%,0,$0.00 
Android,73.70.203.170,1,1,1,0.00%,4,0:03:14,0.00%,0,$0.00 
iOS,73.50.147.172,1,1,1,0.00%,15,0:21:20,0.00%,0,$0.00 
Android,73.48.241.8,1,1,1,0.00%,2,0:03:22,0.00%,0,$0.00 
Android,73.37.13.59,2,2,2,50.00%,10,0:05:16,0.00%,0,$0.00 
Android,73.254.223.191,1,1,1,0.00%,10,0:14:48,0.00%,0,$0.00 
