Operating System,IP Address,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Windows,54.229.168.186,1,1,1,0.00%,3,0:00:15,0.00%,0,$0.00 
Linux,54.201.37.197,5,5,5,0.00%,25.2,0:03:01,0.00%,0,$0.00 
Windows,52.50.31.99,1,1,1,0.00%,3,0:00:27,0.00%,0,$0.00 
Android,50.83.99.191,1,1,1,0.00%,13,0:14:00,0.00%,0,$0.00 
Android,50.82.40.47,1,1,1,0.00%,2,0:01:31,0.00%,0,$0.00 
Windows,50.34.191.81,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,50.25.0.72,1,1,1,0.00%,9,0:13:35,0.00%,0,$0.00 
Windows,50.201.30.60,1,1,1,0.00%,3,0:00:45,0.00%,0,$0.00 
Android,50.122.27.199,1,1,1,0.00%,20,0:56:03,0.00%,0,$0.00 
Android,47.37.130.240,1,1,1,0.00%,2,0:02:09,0.00%,0,$0.00 
Android,47.32.4.202,1,1,1,0.00%,8,0:07:48,0.00%,0,$0.00 
Macintosh,47.26.146.112,1,1,2,0.00%,2.5,0:00:52,0.00%,0,$0.00 
Android,47.26.135.230,1,1,1,0.00%,19,0:18:34,0.00%,0,$0.00 
Android,47.226.30.185,1,1,1,0.00%,16,0:10:02,0.00%,0,$0.00 
Android,47.223.139.19,1,1,1,0.00%,2,0:00:35,0.00%,0,$0.00 
iOS,47.222.191.65,1,1,1,0.00%,3,0:01:17,0.00%,0,$0.00 
Android,47.208.0.36,1,1,1,0.00%,3,0:13:35,0.00%,0,$0.00 
Android,47.198.15.234,1,1,1,0.00%,3,0:00:37,0.00%,0,$0.00 
Android,47.196.175.149,1,1,1,0.00%,5,0:05:24,0.00%,0,$0.00 
Windows,47.185.27.2,1,1,1,0.00%,5,0:01:13,0.00%,0,$0.00 
Chrome OS,47.153.54.247,1,1,1,0.00%,3,0:01:24,0.00%,0,$0.00 
Android,47.152.247.62,1,1,2,0.00%,9.5,0:22:30,0.00%,0,$0.00 
iOS,47.150.19.239,1,1,1,0.00%,6,0:02:33,0.00%,0,$0.00 
Android,47.149.253.50,1,1,1,0.00%,5,0:02:16,0.00%,0,$0.00 
Android,47.148.65.217,1,1,1,0.00%,2,0:00:38,0.00%,0,$0.00 
Android,45.51.188.202,1,1,1,0.00%,2,0:05:18,0.00%,0,$0.00 
iOS,45.49.58.160,1,1,1,0.00%,4,0:01:36,0.00%,0,$0.00 
Macintosh,45.48.39.139,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,45.47.153.40,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,38.29.179.230,1,1,1,0.00%,8,0:05:15,0.00%,0,$0.00 
Android,38.132.158.68,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,37.30.0.155,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,35.137.169.48,1,1,1,0.00%,7,0:04:51,0.00%,0,$0.00 
Android,31.48.115.8,1,1,1,0.00%,6,0:07:25,0.00%,0,$0.00 
Linux,31.13.127.19,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,31.13.127.116,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Linux,31.13.115.2,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Linux,31.13.115.118,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,3.227.184.170,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,24.94.18.133,1,1,1,0.00%,4,0:02:57,0.00%,0,$0.00 
Android,24.8.149.174,1,1,1,0.00%,12,0:09:58,0.00%,0,$0.00 
Android,24.7.183.2,2,2,2,0.00%,2.5,0:07:28,0.00%,0,$0.00 
iOS,24.63.96.210,1,1,1,0.00%,9,0:13:09,0.00%,0,$0.00 
Android,24.60.157.158,1,1,1,0.00%,13,0:04:39,0.00%,0,$0.00 
Windows,24.59.245.51,1,1,2,50.00%,4,0:03:07,0.00%,0,$0.00 
Chrome OS,24.5.177.117,1,1,1,0.00%,4,0:04:07,0.00%,0,$0.00 
Windows,24.43.123.71,2,0,4,50.00%,2.25,0:00:19,0.00%,0,$0.00 
Android,24.254.112.112,1,1,1,0.00%,3,0:00:55,0.00%,0,$0.00 
Windows,24.250.245.66,1,1,1,0.00%,3,0:03:04,0.00%,0,$0.00 
Android,24.250.15.34,1,1,4,75.00%,2.25,0:10:09,0.00%,0,$0.00 
Android,24.242.158.192,1,1,1,0.00%,2,0:01:43,0.00%,0,$0.00 
Android,24.240.58.192,1,1,1,0.00%,7,0:04:00,0.00%,0,$0.00 
Android,24.237.17.179,1,1,1,0.00%,2,0:01:47,0.00%,0,$0.00 
Android,24.233.109.99,1,1,1,0.00%,3,0:02:32,0.00%,0,$0.00 
Macintosh,24.21.200.70,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,24.194.226.86,1,1,1,0.00%,13,0:03:15,0.00%,0,$0.00 
Android,24.192.5.2,1,1,1,0.00%,4,0:03:35,0.00%,0,$0.00 
Android,24.192.124.50,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,24.190.32.242,1,1,1,0.00%,2,0:01:06,0.00%,0,$0.00 
iOS,24.190.29.127,1,1,1,0.00%,2,0:01:00,0.00%,0,$0.00 
iOS,24.186.210.13,1,0,1,0.00%,3,0:07:42,0.00%,0,$0.00 
Macintosh,24.17.167.82,1,0,6,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,24.169.87.10,1,1,1,0.00%,13,0:08:39,0.00%,0,$0.00 
Android,24.169.2.9,1,1,1,0.00%,15,0:11:52,0.00%,0,$0.00 
Android,24.154.155.189,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,24.154.107.20,1,1,1,0.00%,7,0:08:39,0.00%,0,$0.00 
Android,24.151.232.123,1,1,1,0.00%,2,0:00:52,0.00%,0,$0.00 
Android,24.148.19.128,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Macintosh,24.143.241.24,1,1,1,0.00%,29,0:48:06,0.00%,0,$0.00 
Android,24.136.53.79,1,1,1,0.00%,12,0:04:19,0.00%,0,$0.00 
Android,24.118.105.76,1,1,1,0.00%,14,0:09:24,0.00%,0,$0.00 
Android,24.117.190.129,1,1,1,0.00%,2,0:01:22,0.00%,0,$0.00 
iOS,24.106.197.210,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,24.0.99.105,1,1,1,0.00%,17,0:18:29,0.00%,0,$0.00 
Android,24.0.112.76,1,1,1,0.00%,10,0:17:22,0.00%,0,$0.00 
Android,23.84.72.234,1,1,1,0.00%,2,0:01:14,0.00%,0,$0.00 
Windows,23.84.10.87,1,1,1,0.00%,10,0:27:38,0.00%,0,$0.00 
Android,23.242.78.23,1,1,1,0.00%,6,0:02:36,0.00%,0,$0.00 
Windows,23.162.0.90,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,23.127.149.150,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,23.123.210.55,1,1,1,0.00%,10,0:08:55,0.00%,0,$0.00 
Android,23.117.99.64,1,1,1,0.00%,11,0:20:19,0.00%,0,$0.00 
iOS,216.93.226.235,1,1,1,0.00%,6,0:08:57,0.00%,0,$0.00 
Android,216.81.125.14,1,1,1,0.00%,2,0:01:08,0.00%,0,$0.00 
Macintosh,216.211.7.167,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,216.176.114.142,2,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,216.161.18.58,1,1,1,0.00%,6,0:02:33,0.00%,0,$0.00 
Android,216.116.227.255,1,1,1,0.00%,4,0:01:52,0.00%,0,$0.00 
Windows,209.6.227.216,1,1,1,0.00%,3,0:02:18,0.00%,0,$0.00 
Windows,209.51.72.38,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,209.107.180.22,1,1,1,0.00%,5,0:03:38,0.00%,0,$0.00 
Android,209.107.179.56,1,1,2,50.00%,6.5,0:06:30,0.00%,0,$0.00 
Android,208.38.254.86,1,1,1,0.00%,4,0:04:42,0.00%,0,$0.00 
Android,208.104.195.107,1,0,1,0.00%,3,0:00:01,0.00%,0,$0.00 
Android,207.225.154.127,1,1,1,0.00%,6,0:08:49,0.00%,0,$0.00 
Windows,205.169.39.154,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,203.167.201.34,1,1,1,0.00%,8,0:06:52,0.00%,0,$0.00 
Windows,202.9.74.4,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,199.47.65.175,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,198.243.17.69,2,2,2,0.00%,3,0:02:40,0.00%,0,$0.00 
Windows,197.210.53.202,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,197.185.106.33,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,196.158.139.27,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,192.190.159.60,1,1,1,0.00%,4,0:03:45,0.00%,0,$0.00 
Android,184.97.48.228,1,1,1,0.00%,3,0:01:34,0.00%,0,$0.00 
Android,184.96.246.213,1,1,1,0.00%,4,0:01:32,0.00%,0,$0.00 
Android,184.62.130.147,1,1,1,0.00%,20,0:09:57,0.00%,0,$0.00 
iOS,184.20.108.209,1,1,1,0.00%,4,0:02:58,0.00%,0,$0.00 
iOS,184.155.53.208,1,1,1,0.00%,12,0:12:16,0.00%,0,$0.00 
Windows,18.208.35.91,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,174.96.48.51,1,1,1,0.00%,2,0:01:54,0.00%,0,$0.00 
Android,174.86.0.207,1,1,1,0.00%,7,0:05:49,0.00%,0,$0.00 
Android,174.80.241.119,1,1,1,0.00%,3,0:01:02,0.00%,0,$0.00 
Android,174.80.108.76,1,1,1,0.00%,3,0:01:08,0.00%,0,$0.00 
Android,174.71.25.80,1,1,1,0.00%,2,0:01:49,0.00%,0,$0.00 
Android,174.54.123.8,1,1,1,0.00%,5,0:02:39,0.00%,0,$0.00 
Android,174.252.202.5,1,1,1,0.00%,5,0:05:06,0.00%,0,$0.00 
Android,174.250.36.12,1,1,1,0.00%,10,0:21:21,0.00%,0,$0.00 
Android,174.249.47.115,1,1,1,0.00%,7,0:21:26,0.00%,0,$0.00 
Android,174.248.57.86,1,1,1,0.00%,6,0:04:57,0.00%,0,$0.00 
Android,174.247.240.255,1,1,1,0.00%,3,0:02:54,0.00%,0,$0.00 
Android,174.247.14.59,1,1,1,0.00%,4,0:02:14,0.00%,0,$0.00 
iOS,174.246.48.126,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,174.246.134.42,1,1,1,0.00%,17,1:05:28,0.00%,0,$0.00 
iOS,174.244.149.165,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,174.243.179.121,1,1,1,0.00%,7,0:03:28,0.00%,0,$0.00 
Android,174.242.81.27,1,1,1,0.00%,11,0:08:12,0.00%,0,$0.00 
Android,174.241.161.118,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,174.216.11.136,1,1,1,0.00%,5,0:04:03,0.00%,0,$0.00 
Android,174.215.189.51,1,1,1,0.00%,2,0:00:29,0.00%,0,$0.00 
Android,174.214.0.116,1,1,1,0.00%,8,0:14:45,0.00%,0,$0.00 
Android,174.211.43.106,1,1,1,0.00%,2,0:00:09,0.00%,0,$0.00 
Android,174.211.160.168,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,174.211.129.240,1,1,1,0.00%,30,0:14:44,0.00%,0,$0.00 
Android,174.210.235.168,1,1,1,0.00%,12,0:13:35,0.00%,0,$0.00 
iOS,174.208.37.100,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,174.208.34.69,1,1,1,0.00%,5,0:01:16,0.00%,0,$0.00 
iOS,174.208.193.174,1,1,1,0.00%,4,0:02:18,0.00%,0,$0.00 
iOS,174.207.192.54,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,174.207.0.28,1,1,1,0.00%,2,0:04:50,0.00%,0,$0.00 
Android,174.206.65.163,1,1,1,0.00%,3,0:01:38,0.00%,0,$0.00 
Android,174.205.240.185,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,174.205.128.46,1,1,1,0.00%,2,0:01:10,0.00%,0,$0.00 
Android,174.204.9.124,1,1,1,0.00%,3,0:00:54,0.00%,0,$0.00 
Android,174.203.101.81,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Macintosh,174.202.71.164,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,174.202.69.23,1,1,1,0.00%,2,0:01:13,0.00%,0,$0.00 
Android,174.202.203.30,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,174.202.0.217,1,1,1,0.00%,2,0:04:55,0.00%,0,$0.00 
Android,174.20.67.229,1,1,1,0.00%,2,0:01:49,0.00%,0,$0.00 
Android,174.199.238.114,1,1,1,0.00%,15,0:10:53,0.00%,0,$0.00 
Android,174.198.65.5,2,2,3,66.67%,2.67,0:00:57,0.00%,0,$0.00 
Android,174.198.147.183,1,0,1,0.00%,3,0:05:08,0.00%,0,$0.00 
Android,174.197.203.48,1,1,1,0.00%,6,0:03:24,0.00%,0,$0.00 
Android,174.126.154.195,1,1,1,0.00%,5,0:05:56,0.00%,0,$0.00 
Android,174.101.206.29,1,1,1,0.00%,5,0:00:55,0.00%,0,$0.00 
Android,173.87.230.199,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,173.81.164.231,1,1,1,0.00%,2,0:01:38,0.00%,0,$0.00 
iOS,173.69.134.2,1,1,1,0.00%,3,0:01:56,0.00%,0,$0.00 
iOS,173.54.76.88,1,1,1,0.00%,3,0:02:35,0.00%,0,$0.00 
Macintosh,173.49.19.117,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,173.29.26.241,1,1,2,50.00%,1.5,0:00:35,0.00%,0,$0.00 
Android,173.29.245.134,1,1,1,0.00%,6,0:12:20,0.00%,0,$0.00 
Linux,173.252.95.3,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Linux,173.252.95.1,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Linux,173.252.87.6,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Linux,173.252.127.14,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,173.233.162.66,1,1,2,0.00%,6,0:05:16,0.00%,0,$0.00 
Android,173.22.120.33,1,1,1,0.00%,3,0:00:44,0.00%,0,$0.00 
Android,173.2.249.174,1,1,1,0.00%,4,0:03:13,0.00%,0,$0.00 
Android,173.187.48.146,1,1,1,0.00%,2,0:01:07,0.00%,0,$0.00 
Android,173.174.7.212,1,1,1,0.00%,3,0:01:20,0.00%,0,$0.00 
Android,173.173.4.193,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,173.168.131.78,1,1,1,0.00%,2,0:00:31,0.00%,0,$0.00 
Android,173.16.94.233,1,1,1,0.00%,2,0:04:09,0.00%,0,$0.00 
Android,172.91.219.96,1,1,1,0.00%,2,0:01:04,0.00%,0,$0.00 
Android,172.89.24.156,1,1,1,0.00%,2,0:02:33,0.00%,0,$0.00 
iOS,172.8.196.79,1,1,1,0.00%,2,0:01:46,0.00%,0,$0.00 
Android,172.79.21.112,1,1,1,0.00%,10,0:11:05,0.00%,0,$0.00 
Android,172.76.59.43,1,1,1,0.00%,5,0:01:51,0.00%,0,$0.00 
Android,172.75.242.43,1,1,1,0.00%,5,0:04:49,0.00%,0,$0.00 
iOS,172.58.99.251,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,172.58.70.156,1,1,1,0.00%,10,0:13:51,0.00%,0,$0.00 
Android,172.58.63.103,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,172.58.6.204,1,1,1,0.00%,8,0:11:19,0.00%,0,$0.00 
Android,172.58.59.211,1,1,1,0.00%,12,0:30:58,0.00%,0,$0.00 
Android,172.58.56.40,1,1,1,0.00%,4,0:01:39,0.00%,0,$0.00 
Android,172.58.44.251,1,1,1,0.00%,8,0:07:51,0.00%,0,$0.00 
Android,172.58.44.170,1,1,1,0.00%,10,0:12:59,0.00%,0,$0.00 
iOS,172.58.36.197,1,1,1,0.00%,3,0:02:19,0.00%,0,$0.00 
Android,172.58.31.102,1,1,1,0.00%,7,0:24:47,0.00%,0,$0.00 
Android,172.58.28.93,1,1,1,0.00%,3,0:02:37,0.00%,0,$0.00 
Android,172.58.27.12,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,172.58.238.130,1,1,1,0.00%,3,0:00:51,0.00%,0,$0.00 
iOS,172.58.236.51,1,1,1,0.00%,2,0:01:51,0.00%,0,$0.00 
Android,172.58.23.222,1,1,1,0.00%,2,0:03:09,0.00%,0,$0.00 
Android,172.58.228.166,1,1,1,0.00%,4,0:00:36,0.00%,0,$0.00 
Android,172.58.223.141,1,1,1,0.00%,6,0:10:35,0.00%,0,$0.00 
Android,172.58.220.43,1,1,1,0.00%,7,0:02:11,0.00%,0,$0.00 
Android,172.58.207.135,1,1,1,0.00%,12,0:06:12,0.00%,0,$0.00 
Android,172.58.205.22,1,1,1,0.00%,6,0:01:12,0.00%,0,$0.00 
Android,172.58.203.173,1,1,1,0.00%,4,0:02:34,0.00%,0,$0.00 
Android,172.58.19.143,1,1,1,0.00%,15,0:13:57,0.00%,0,$0.00 
Android,172.58.187.101,1,1,1,0.00%,3,0:01:44,0.00%,0,$0.00 
Android,172.58.184.103,1,1,1,0.00%,5,0:08:30,0.00%,0,$0.00 
Android,172.58.175.244,1,1,1,0.00%,2,0:02:00,0.00%,0,$0.00 
iOS,172.58.160.165,1,1,2,50.00%,2.5,0:00:34,0.00%,0,$0.00 
Android,172.58.157.58,1,1,1,0.00%,5,0:07:03,0.00%,0,$0.00 
Android,172.58.157.238,1,1,1,0.00%,2,0:02:30,0.00%,0,$0.00 
Android,172.58.155.234,1,1,1,0.00%,2,0:00:30,0.00%,0,$0.00 
Android,172.58.143.43,1,1,1,0.00%,13,0:55:07,0.00%,0,$0.00 
Android,172.58.139.36,1,1,1,0.00%,12,0:21:24,0.00%,0,$0.00 
Android,172.58.139.108,1,1,1,0.00%,38,0:32:47,0.00%,0,$0.00 
Windows,172.58.137.217,1,1,2,0.00%,7,0:22:59,0.00%,0,$0.00 
Android,172.58.136.37,1,1,1,0.00%,4,0:02:16,0.00%,0,$0.00 
Android,172.58.120.237,1,1,1,0.00%,4,0:09:40,0.00%,0,$0.00 
Android,172.58.120.185,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,172.58.111.155,1,1,1,0.00%,5,0:10:12,0.00%,0,$0.00 
Android,172.58.109.92,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,172.58.107.37,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,172.56.42.95,1,1,1,0.00%,15,0:08:17,0.00%,0,$0.00 
Android,172.56.42.87,1,1,1,0.00%,4,0:02:16,0.00%,0,$0.00 
Android,172.56.42.201,1,1,2,50.00%,4,0:05:58,0.00%,0,$0.00 
Android,172.56.42.176,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,172.56.31.94,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,172.56.30.64,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,172.56.30.246,1,1,2,50.00%,1.5,0:07:41,0.00%,0,$0.00 
Android,172.56.30.218,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,172.56.30.114,1,0,4,50.00%,3,0:07:52,0.00%,0,$0.00 
Android,172.56.30.101,1,1,1,0.00%,9,0:01:49,0.00%,0,$0.00 
Android,172.56.13.86,1,1,1,0.00%,13,0:19:06,0.00%,0,$0.00 
Android,172.56.12.176,1,1,1,0.00%,7,0:03:30,0.00%,0,$0.00 
Android,172.5.237.199,1,1,1,0.00%,4,0:05:21,0.00%,0,$0.00 
Android,172.221.114.222,1,1,1,0.00%,18,0:19:00,0.00%,0,$0.00 
iOS,172.14.95.125,1,1,1,0.00%,2,0:02:17,0.00%,0,$0.00 
iOS,169.1.114.40,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,166.182.85.183,1,1,1,0.00%,8,0:05:31,0.00%,0,$0.00 
Android,166.181.82.19,1,1,1,0.00%,8,0:02:59,0.00%,0,$0.00 
Android,166.137.83.5,1,1,1,0.00%,2,0:01:04,0.00%,0,$0.00 
Windows,162.232.184.211,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,162.229.22.2,1,1,1,0.00%,6,0:02:20,0.00%,0,$0.00 
Android,162.222.31.52,1,1,1,0.00%,14,0:48:13,0.00%,0,$0.00 
Android,162.218.220.231,2,2,2,50.00%,9,0:14:12,0.00%,0,$0.00 
iOS,162.192.207.20,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,151.197.230.4,1,1,1,0.00%,8,0:07:13,0.00%,0,$0.00 
Windows,150.135.165.103,1,1,1,0.00%,2,0:01:04,0.00%,0,$0.00 
iOS,148.76.225.100,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,148.76.109.230,1,1,1,0.00%,2,0:00:49,0.00%,0,$0.00 
Android,147.92.18.9,1,1,1,0.00%,22,0:08:32,0.00%,0,$0.00 
Windows,142.160.109.206,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,142.105.11.32,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,141.156.128.117,1,1,1,0.00%,6,0:03:47,0.00%,0,$0.00 
iOS,140.186.252.50,1,1,1,0.00%,41,0:29:40,0.00%,0,$0.00 
Windows,138.122.154.148,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,137.83.68.106,1,1,1,0.00%,9,0:07:00,0.00%,0,$0.00 
Android,136.56.102.125,1,1,1,0.00%,5,0:01:32,0.00%,0,$0.00 
Windows,136.49.55.129,1,1,2,0.00%,4.5,0:02:09,0.00%,0,$0.00 
Android,136.34.91.100,1,1,1,0.00%,21,0:15:42,0.00%,0,$0.00 
Windows,136.158.37.150,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,135.134.161.150,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,135.129.115.46,1,1,1,0.00%,8,0:06:52,0.00%,0,$0.00 
Windows,134.174.142.203,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,131.95.1.143,1,1,1,0.00%,2,0:02:19,0.00%,0,$0.00 
iOS,128.119.226.22,1,1,1,0.00%,2,0:00:51,0.00%,0,$0.00 
Windows,116.88.101.181,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,111.223.26.101,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,110.137.195.99,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,109.76.206.200,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,108.75.185.166,1,1,1,0.00%,3,0:01:03,0.00%,0,$0.00 
iOS,108.52.234.84,1,1,2,50.00%,1.5,0:00:33,0.00%,0,$0.00 
Android,108.52.130.168,1,1,1,0.00%,7,0:13:00,0.00%,0,$0.00 
Android,108.30.127.130,1,1,1,0.00%,5,0:04:42,0.00%,0,$0.00 
Macintosh,108.28.65.24,1,1,1,0.00%,10,0:13:32,0.00%,0,$0.00 
Android,108.238.90.79,1,1,1,0.00%,9,0:11:00,0.00%,0,$0.00 
Android,108.236.37.235,1,1,1,0.00%,3,0:00:58,0.00%,0,$0.00 
Android,108.234.124.199,1,1,1,0.00%,13,0:16:31,0.00%,0,$0.00 
Windows,108.223.237.150,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,108.215.130.45,1,1,1,0.00%,4,0:02:21,0.00%,0,$0.00 
Android,108.213.221.15,1,1,1,0.00%,12,0:25:47,0.00%,0,$0.00 
iOS,108.209.51.38,1,1,1,0.00%,2,0:01:00,0.00%,0,$0.00 
Android,108.207.5.63,1,1,1,0.00%,4,0:00:42,0.00%,0,$0.00 
Android,108.202.117.72,1,1,1,0.00%,12,0:14:58,0.00%,0,$0.00 
Windows,108.195.7.70,1,1,1,0.00%,9,0:03:31,0.00%,0,$0.00 
Android,108.195.170.156,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,108.195.170.156,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,108.183.203.232,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,108.183.191.91,2,2,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 
Android,108.183.166.171,1,1,1,0.00%,10,0:05:59,0.00%,0,$0.00 
Android,108.16.85.117,1,1,1,0.00%,2,0:00:19,0.00%,0,$0.00 
iOS,107.77.249.61,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,107.77.209.100,1,1,1,0.00%,2,0:02:14,0.00%,0,$0.00 
Android,107.77.208.231,1,1,1,0.00%,2,0:01:44,0.00%,0,$0.00 
Android,107.77.207.231,1,1,1,0.00%,19,0:25:46,0.00%,0,$0.00 
iOS,107.77.207.135,1,1,1,0.00%,2,0:00:09,0.00%,0,$0.00 
iOS,107.77.204.37,1,1,1,0.00%,2,0:00:27,0.00%,0,$0.00 
Android,107.77.204.226,2,2,3,33.33%,6,0:04:34,0.00%,0,$0.00 
iOS,107.77.196.108,1,1,1,0.00%,5,0:05:14,0.00%,0,$0.00 
Android,107.77.194.211,1,1,1,0.00%,6,0:02:38,0.00%,0,$0.00 
iOS,107.77.194.124,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,107.77.169.36,1,1,1,0.00%,4,0:06:44,0.00%,0,$0.00 
Android,107.242.125.48,1,1,1,0.00%,3,0:02:39,0.00%,0,$0.00 
Android,107.242.125.40,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,107.242.113.64,1,1,2,0.00%,7.5,0:26:28,0.00%,0,$0.00 
Android,107.242.113.5,1,1,1,0.00%,29,0:13:31,0.00%,0,$0.00 
Android,107.207.246.122,1,1,1,0.00%,16,0:08:26,0.00%,0,$0.00 
Android,107.204.168.21,1,1,1,0.00%,22,0:57:57,0.00%,0,$0.00 
Windows,107.2.232.15,1,1,1,0.00%,7,0:11:29,0.00%,0,$0.00 
iOS,107.185.13.42,1,1,1,0.00%,2,0:04:48,0.00%,0,$0.00 
Windows,107.143.185.173,1,1,1,0.00%,4,0:02:42,0.00%,0,$0.00 
Android,107.136.61.184,1,1,2,0.00%,4,0:04:04,0.00%,0,$0.00 
Android,107.126.121.174,1,1,1,0.00%,3,0:02:33,0.00%,0,$0.00 
Windows,107.126.100.27,1,1,1,0.00%,11,0:10:50,0.00%,0,$0.00 
Android,107.12.183.250,1,1,1,0.00%,3,0:02:55,0.00%,0,$0.00 
Android,107.115.159.20,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,107.10.231.221,1,1,1,0.00%,3,0:01:05,0.00%,0,$0.00 
Android,104.8.80.79,2,2,2,50.00%,4,0:05:41,0.00%,0,$0.00 
Android,104.7.29.81,1,1,1,0.00%,2,0:02:06,0.00%,0,$0.00 
Macintosh,104.62.180.181,1,1,1,0.00%,7,0:05:09,0.00%,0,$0.00 
Android,104.57.157.1,1,1,1,0.00%,3,0:01:47,0.00%,0,$0.00 
Windows,104.4.139.57,1,1,1,0.00%,10,0:11:33,0.00%,0,$0.00 
